nohup: ignoring input
SUCCESS: scrape tt1375666
SUCCESS: scrape tt1706620
SUCCESS: scrape tt0120737
SUCCESS: scrape tt4779682
SUCCESS: scrape tt1677720
SUCCESS: scrape tt0468569
SUCCESS: scrape tt0409459
SUCCESS: scrape tt0938283
SUCCESS: scrape tt3501632
SUCCESS: scrape tt1502712
SUCCESS: scrape tt1825683
SUCCESS: scrape tt1365519
SUCCESS: scrape tt0434409
SUCCESS: scrape tt4633694
SUCCESS: scrape tt2911666
SUCCESS: scrape tt4154756
SUCCESS: scrape tt1392190
SUCCESS: scrape tt0458339
SUCCESS: scrape tt2980592
SUCCESS: scrape tt2802144
SUCCESS: scrape tt1856101
SUCCESS: scrape tt1477834
SUCCESS: scrape tt1074638
SUCCESS: scrape tt2283362
SUCCESS: scrape tt4912910
SUCCESS: scrape tt1345836
SUCCESS: scrape tt1392170
SUCCESS: scrape tt0451279
SUCCESS: scrape tt3890160
SUCCESS: scrape tt0372784
SUCCESS: scrape tt0446029
SUCCESS: scrape tt4881806
SUCCESS: scrape tt2015381
SUCCESS: scrape tt1386697
SUCCESS: scrape tt0974015
SUCCESS: scrape tt2660888
SUCCESS: scrape tt0325980
SUCCESS: scrape tt3896198
SUCCESS: scrape tt0499549
SUCCESS: scrape tt4649466
SUCCESS: scrape tt0796366
SUCCESS: scrape tt0848228
SUCCESS: scrape tt0418279
SUCCESS: scrape tt2704998
SUCCESS: scrape tt5013056
SUCCESS: scrape tt5758778
SUCCESS: scrape tt2250912
SUCCESS: scrape tt2975590
SUCCESS: scrape tt1598778
SUCCESS: scrape tt0416449
SUCCESS: scrape tt3748528
SUCCESS: scrape tt4530422
SUCCESS: scrape tt2231461
SUCCESS: scrape tt0369610
SUCCESS: scrape tt0458525
SUCCESS: scrape tt0472043
SUCCESS: scrape tt2395427
SUCCESS: scrape tt3371366
SUCCESS: scrape tt0463985
SUCCESS: scrape tt0145487
SUCCESS: scrape tt1431045
SUCCESS: scrape tt1790809
SUCCESS: scrape tt3778644
SUCCESS: scrape tt0181689
SUCCESS: scrape tt5463162
SUCCESS: scrape tt1663202
SUCCESS: scrape tt0266697
SUCCESS: scrape tt3799694
SUCCESS: scrape tt0371746
SUCCESS: scrape tt2527336
SUCCESS: scrape tt0172156
SUCCESS: scrape tt0183790
SUCCESS: scrape tt5834262
SUCCESS: scrape tt0381061
SUCCESS: scrape tt1270798
SUCCESS: scrape tt5700672
SUCCESS: scrape tt5164214
SUCCESS: scrape tt0790724
SUCCESS: scrape tt1270797
SUCCESS: scrape tt3498820
SUCCESS: scrape tt0800369
SUCCESS: scrape tt2379713
SUCCESS: scrape tt4425200
SUCCESS: scrape tt0232500
SUCCESS: scrape tt0373889
SUCCESS: scrape tt1972591
SUCCESS: scrape tt1259528
SUCCESS: scrape tt3397884
SUCCESS: scrape tt1211837
SUCCESS: scrape tt3315342
SUCCESS: scrape tt0364569
SUCCESS: scrape tt1469304
SUCCESS: scrape tt0478970
SUCCESS: scrape tt1631867
SUCCESS: scrape tt2488496
SUCCESS: scrape tt0770828
SUCCESS: scrape tt0417741
SUCCESS: scrape tt2713180
SUCCESS: scrape tt0319262
SUCCESS: scrape tt0993842
SUCCESS: scrape tt0234215
SUCCESS: scrape tt1951264
SUCCESS: scrape tt2245084
SUCCESS: scrape tt2406566
SUCCESS: scrape tt3385516
SUCCESS: scrape tt0133152
SUCCESS: scrape tt1587310
SUCCESS: scrape tt2820852
SUCCESS: scrape tt1840309
SUCCESS: scrape tt0942385
SUCCESS: scrape tt6499752
SUCCESS: scrape tt0978764
SUCCESS: scrape tt1843866
SUCCESS: scrape tt0803096
SUCCESS: scrape tt0822854
ERROR: tt5542802
SUCCESS: scrape tt1234719
SUCCESS: scrape tt0378194
SUCCESS: scrape tt1300854
SUCCESS: scrape tt0328107
SUCCESS: scrape tt1232829
SUCCESS: scrape tt0121766
SUCCESS: scrape tt4701182
SUCCESS: scrape tt1638355
SUCCESS: scrape tt1298650
SUCCESS: scrape tt2404435
SUCCESS: scrape tt0317705
SUCCESS: scrape tt3717490
SUCCESS: scrape tt5689068
SUCCESS: scrape tt1276104
SUCCESS: scrape tt0816711
SUCCESS: scrape tt0121765
SUCCESS: scrape tt5095030
SUCCESS: scrape tt0413300
SUCCESS: scrape tt0383574
SUCCESS: scrape tt3606756
SUCCESS: scrape tt0338526
SUCCESS: scrape tt1228705
SUCCESS: scrape tt3079380
SUCCESS: scrape tt2109248
SUCCESS: scrape tt0800080
SUCCESS: scrape tt4630562
SUCCESS: scrape tt1981115
SUCCESS: scrape tt1229238
SUCCESS: scrape tt3393786
SUCCESS: scrape tt3766354
SUCCESS: scrape tt5052474
SUCCESS: scrape tt0830515
SUCCESS: scrape tt0425112
SUCCESS: scrape tt1648190
SUCCESS: scrape tt3829266
SUCCESS: scrape tt2239822
SUCCESS: scrape tt2397535
SUCCESS: scrape tt0320661
SUCCESS: scrape tt2582782
SUCCESS: scrape tt0316654
SUCCESS: scrape tt1877832
SUCCESS: scrape tt0213149
SUCCESS: scrape tt1190080
SUCCESS: scrape tt1197624
SUCCESS: scrape tt0455944
SUCCESS: scrape tt6998518
SUCCESS: scrape tt2140479
SUCCESS: scrape tt2179136
SUCCESS: scrape tt3891538
SUCCESS: scrape tt2094766
SUCCESS: scrape tt0325710
SUCCESS: scrape tt0360486
SUCCESS: scrape tt1028528
SUCCESS: scrape tt1371111
SUCCESS: scrape tt0988045
SUCCESS: scrape tt1104001
SUCCESS: scrape tt1386588
SUCCESS: scrape tt1430132
SUCCESS: scrape tt0449088
SUCCESS: scrape tt2381249
SUCCESS: scrape tt1731141
SUCCESS: scrape tt1250777
SUCCESS: scrape tt0480249
ERROR: tt6533240
SUCCESS: scrape tt2873282
SUCCESS: scrape tt1951266
SUCCESS: scrape tt1483013
SUCCESS: scrape tt0496806
SUCCESS: scrape tt0120667
SUCCESS: scrape tt5519340
SUCCESS: scrape tt0376994
SUCCESS: scrape tt0242653
SUCCESS: scrape tt3967856
SUCCESS: scrape tt0209163
SUCCESS: scrape tt1408101
SUCCESS: scrape tt1637688
SUCCESS: scrape tt0258463
SUCCESS: scrape tt1013752
SUCCESS: scrape tt1846589
SUCCESS: scrape tt2334879
SUCCESS: scrape tt1267297
SUCCESS: scrape tt0816462
SUCCESS: scrape tt1961175
SUCCESS: scrape tt2126355
SUCCESS: scrape tt1340138
SUCCESS: scrape tt0163025
SUCCESS: scrape tt0381849
SUCCESS: scrape tt1628841
SUCCESS: scrape tt0892769
SUCCESS: scrape tt1905041
SUCCESS: scrape tt0337978
SUCCESS: scrape tt4172430
SUCCESS: scrape tt1133985
SUCCESS: scrape tt1790864
SUCCESS: scrape tt0379786
SUCCESS: scrape tt0367882
SUCCESS: scrape tt1980209
SUCCESS: scrape tt0322259
SUCCESS: scrape tt0368891
SUCCESS: scrape tt4532826
SUCCESS: scrape tt6663582
SUCCESS: scrape tt0493464
SUCCESS: scrape tt2872732
SUCCESS: scrape tt0948470
SUCCESS: scrape tt0790736
SUCCESS: scrape tt0146316
SUCCESS: scrape tt2333784
SUCCESS: scrape tt2345759
SUCCESS: scrape tt1489889
SUCCESS: scrape tt1571234
SUCCESS: scrape tt1409024
SUCCESS: scrape tt0298814
SUCCESS: scrape tt1951265
SUCCESS: scrape tt0320691
SUCCESS: scrape tt4196776
SUCCESS: scrape tt1843303
SUCCESS: scrape tt3731562
SUCCESS: scrape tt0936501
SUCCESS: scrape tt0800320
SUCCESS: scrape tt0353969
SUCCESS: scrape tt1091191
SUCCESS: scrape tt2024469
SUCCESS: scrape tt1136608
SUCCESS: scrape tt2302755
SUCCESS: scrape tt0348150
SUCCESS: scrape tt0317919
SUCCESS: scrape tt0822847
SUCCESS: scrape tt0363547
